mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
3	3	5/16	5/16	4/4	28	1	1/32		1/32	1		7	73	286
3	3	5/16	5/16	4/4	27	1	1/32		1/32	1		4	76	262
3	3	5/16	5/16	4/4	25	1	1/32		1/32	1		1	79	214
3	3	5/16	5/16	4/4	26	1	1/32		1/32	1		1	79	238
3	3	5/16	5/16	4/4	23	1	1/32		1/32	1		10	82	166
3	3	5/16	5/16	4/4	24	1	1/32		1/32	1		10	82	190
3	3	5/16	5/16	4/4	22	1	1/32		1/32	1		7	85	142
3	3	5/16	5/16	4/4	21	1	1/32		1/32	1		4	88	118
3	3	3/8	3/8	4/4	28	1	1/32		1/32	1		10	70	287
3	3	3/8	3/8	4/4	27	1	1/32		1/32	1		7	73	263
3	3	3/8	3/8	4/4	26	1	1/32		1/32	1		4	76	239
3	3	3/8	3/8	4/4	25	1	1/32		1/32	1		1	79	215
3	3	3/8	3/8	4/4	23	1	1/32		1/32	1		7	85	167
3	3	3/8	3/8	4/4	24	1	1/32		1/32	1		7	85	191
3	3	3/8	3/8	4/4	22	1	1/32		1/32	1		4	88	143
3	3	3/8	3/8	4/4	21	1	1/32		1/32	1		1	91	119
3	3	13/32	13/32	4/4	28	1	1/32		1/32	1		5	71	288
3	3	13/32	13/32	4/4	27	1	1/32		1/32	1		2	74	264
3	3	13/32	13/32	4/4	25	1	1/32		1/32	1		6	78	216
3	3	13/32	13/32	4/4	26	1	1/32		1/32	1		6	78	240
3	3	13/32	13/32	4/4	23	1	1/32		1/32	1		5	83	168
3	3	13/32	13/32	4/4	24	1	1/32		1/32	1		5	83	192
3	3	13/32	13/32	4/4	22	1	1/32		1/32	1		2	86	144
3	3	13/32	13/32	4/4	21	1	1/32		1/32	1		6	90	120
3	3	7/16	7/16	4/4	28	1	1/32		1/32	1		7	73	289
3	3	7/16	7/16	4/4	27	1	1/32		1/32	1		4	76	265
3	3	7/16	7/16	4/4	25	1	1/32		1/32	1		1	79	217
3	3	7/16	7/16	4/4	26	1	1/32		1/32	1		1	79	241
3	3	7/16	7/16	4/4	23	1	1/32		1/32	1		10	82	169
3	3	7/16	7/16	4/4	24	1	1/32		1/32	1		10	82	193
3	3	7/16	7/16	4/4	22	1	1/32		1/32	1		7	85	145
3	3	7/16	7/16	4/4	21	1	1/32		1/32	1		4	88	121
3	3	1/2	1/2	4/4	28	1	1/32		1/32	1		10	70	290
3	3	1/2	1/2	4/4	27	1	1/32		1/32	1		7	73	266
3	3	1/2	1/2	4/4	26	1	1/32		1/32	1		4	76	242
3	3	1/2	1/2	4/4	25	1	1/32		1/32	1		1	79	218
3	3	1/2	1/2	4/4	23	1	1/32		1/32	1		7	85	170
3	3	1/2	1/2	4/4	24	1	1/32		1/32	1		7	85	194
3	3	1/2	1/2	4/4	22	1	1/32		1/32	1		4	88	146
3	3	1/2	1/2	4/4	21	1	1/32		1/32	1		1	91	122
3	3	17/32	17/32	4/4	28	1	1/32		1/32	1		5	71	291
3	3	17/32	17/32	4/4	27	1	1/32		1/32	1		2	74	267
3	3	17/32	17/32	4/4	25	1	1/32		1/32	1		6	78	219
3	3	17/32	17/32	4/4	26	1	1/32		1/32	1		6	78	243
3	3	17/32	17/32	4/4	23	1	1/32		1/32	1		5	83	171
3	3	17/32	17/32	4/4	24	1	1/32		1/32	1		5	83	195
3	3	17/32	17/32	4/4	22	1	1/32		1/32	1		2	86	147
3	3	17/32	17/32	4/4	21	1	1/32		1/32	1		6	90	123
3	3	9/16	9/16	4/4	28	1	1/32		1/32	1		7	73	292
3	3	9/16	9/16	4/4	27	1	1/32		1/32	1		4	76	268
3	3	9/16	9/16	4/4	25	1	1/32		1/32	1		1	79	220
3	3	9/16	9/16	4/4	26	1	1/32		1/32	1		1	79	244
3	3	9/16	9/16	4/4	23	1	1/32		1/32	1		10	82	172
3	3	9/16	9/16	4/4	24	1	1/32		1/32	1		10	82	196
3	3	9/16	9/16	4/4	22	1	1/32		1/32	1		7	85	148
3	3	9/16	9/16	4/4	21	1	1/32		1/32	1		4	88	124
3	3	5/8	5/8	4/4	28	1	1/32		1/32	1		10	70	293
3	3	5/8	5/8	4/4	27	1	1/32		1/32	1		7	73	269
3	3	5/8	5/8	4/4	26	1	1/32		1/32	1		4	76	245
3	3	5/8	5/8	4/4	25	1	1/32		1/32	1		1	79	221
3	3	5/8	5/8	4/4	23	1	1/32		1/32	1		7	85	173
3	3	5/8	5/8	4/4	24	1	1/32		1/32	1		7	85	197
3	3	5/8	5/8	4/4	22	1	1/32		1/32	1		4	88	149
3	3	5/8	5/8	4/4	21	1	1/32		1/32	1		1	91	125
3	3	21/32	21/32	4/4	28	1	1/32		1/32	1		5	71	294
3	3	21/32	21/32	4/4	27	1	1/32		1/32	1		2	74	270
3	3	21/32	21/32	4/4	25	1	1/32		1/32	1		6	78	222
3	3	21/32	21/32	4/4	26	1	1/32		1/32	1		6	78	246
3	3	21/32	21/32	4/4	23	1	1/32		1/32	1		5	83	174
3	3	21/32	21/32	4/4	24	1	1/32		1/32	1		5	83	198
3	3	21/32	21/32	4/4	22	1	1/32		1/32	1		2	86	150
3	3	21/32	21/32	4/4	21	1	1/32		1/32	1		6	90	126
3	3	11/16	11/16	4/4	28	1	1/32		1/32	1		7	73	295
3	3	11/16	11/16	4/4	27	1	1/32		1/32	1		4	76	271
3	3	11/16	11/16	4/4	25	1	1/32		1/32	1		1	79	223
3	3	11/16	11/16	4/4	26	1	1/32		1/32	1		1	79	247
3	3	11/16	11/16	4/4	23	1	1/32		1/32	1		10	82	175
3	3	11/16	11/16	4/4	24	1	1/32		1/32	1		10	82	199
3	3	11/16	11/16	4/4	22	1	1/32		1/32	1		7	85	151
3	3	11/16	11/16	4/4	21	1	1/32		1/32	1		4	88	127
3	3	3/4	3/4	4/4	28	1	1/32		1/32	1		10	70	296
3	3	3/4	3/4	4/4	27	1	1/32		1/32	1		7	73	272
3	3	3/4	3/4	4/4	26	1	1/32		1/32	1		4	76	248
3	3	3/4	3/4	4/4	25	1	1/32		1/32	1		1	79	224
3	3	3/4	3/4	4/4	23	1	1/32		1/32	1		7	85	176
3	3	3/4	3/4	4/4	24	1	1/32		1/32	1		7	85	200
3	3	3/4	3/4	4/4	22	1	1/32		1/32	1		4	88	152
3	3	3/4	3/4	4/4	21	1	1/32		1/32	1		1	91	128
3	3	25/32	25/32	4/4	28	1	1/32		1/32	1		5	71	297
3	3	25/32	25/32	4/4	27	1	1/32		1/32	1		2	74	273
3	3	25/32	25/32	4/4	25	1	1/32		1/32	1		6	78	225
3	3	25/32	25/32	4/4	26	1	1/32		1/32	1		6	78	249
3	3	25/32	25/32	4/4	23	1	1/32		1/32	1		5	83	177
3	3	25/32	25/32	4/4	24	1	1/32		1/32	1		5	83	201
3	3	25/32	25/32	4/4	22	1	1/32		1/32	1		2	86	153
3	3	25/32	25/32	4/4	21	1	1/32		1/32	1		6	90	129
3	3	13/16	13/16	4/4	28	1	1/32		1/32	1		7	73	298
3	3	13/16	13/16	4/4	27	1	1/32		1/32	1		4	76	274
3	3	13/16	13/16	4/4	25	1	1/32		1/32	1		1	79	226
3	3	13/16	13/16	4/4	26	1	1/32		1/32	1		1	79	250
3	3	13/16	13/16	4/4	23	1	1/32		1/32	1		10	82	178
3	3	13/16	13/16	4/4	24	1	1/32		1/32	1		10	82	202
3	3	13/16	13/16	4/4	22	1	1/32		1/32	1		7	85	154
3	3	13/16	13/16	4/4	21	1	1/32		1/32	1		4	88	130
3	3	7/8	7/8	4/4	28	1	1/32		1/32	1		10	70	299
3	3	7/8	7/8	4/4	27	1	1/32		1/32	1		7	73	275
3	3	7/8	7/8	4/4	26	1	1/32		1/32	1		4	76	251
3	3	7/8	7/8	4/4	25	1	1/32		1/32	1		1	79	227
3	3	7/8	7/8	4/4	23	1	1/32		1/32	1		7	85	179
3	3	7/8	7/8	4/4	24	1	1/32		1/32	1		7	85	203
3	3	7/8	7/8	4/4	22	1	1/32		1/32	1		4	88	155
3	3	7/8	7/8	4/4	21	1	1/32		1/32	1		1	91	131
3	3	29/32	29/32	4/4	28	1	1/32		1/32	1		5	71	300
3	3	29/32	29/32	4/4	27	1	1/32		1/32	1		2	74	276
3	3	29/32	29/32	4/4	25	1	1/32		1/32	1		6	78	228
3	3	29/32	29/32	4/4	26	1	1/32		1/32	1		6	78	252
3	3	29/32	29/32	4/4	23	1	1/32		1/32	1		5	83	180
3	3	29/32	29/32	4/4	24	1	1/32		1/32	1		5	83	204
3	3	29/32	29/32	4/4	22	1	1/32		1/32	1		2	86	156
3	3	29/32	29/32	4/4	21	1	1/32		1/32	1		6	90	132
3	3	15/16	15/16	4/4	28	1	1/32		1/32	1		7	73	301
3	3	15/16	15/16	4/4	27	1	1/32		1/32	1		4	76	277
3	3	15/16	15/16	4/4	25	1	1/32		1/32	1		1	79	229
3	3	15/16	15/16	4/4	26	1	1/32		1/32	1		1	79	253
3	3	15/16	15/16	4/4	23	1	1/32		1/32	1		10	82	181
3	3	15/16	15/16	4/4	24	1	1/32		1/32	1		10	82	205
3	3	15/16	15/16	4/4	22	1	1/32		1/32	1		7	85	157
3	3	15/16	15/16	4/4	21	1	1/32		1/32	1		4	88	133
4	4	0	0	4/4	9	1	1/4		1/4	1	-1	7	49	305
4	4	0	0	4/4	9	1	1/4		1/4	1	-1	10	58	305
4	4	0	0	4/4	8	1	1/4		1/4	1	-1	4	64	304
4	4	0	0	4/4	8	1	1/4		1/4	1	-1	1	67	304
4	4	0	0	4/4	28	1	1/24		1/16	2/3		10	70	474
4	4	0	0	4/4	27	1	1/24		1/16	2/3		7	73	450
4	4	0	0	4/4	5	1	1/4		1/4	1	-1	7	73	303
4	4	0	0	4/4	26	1	1/24		1/16	2/3		4	76	426
4	4	0	0	4/4	3	1	1/4		1/4	1	-1	4	76	302
4	4	0	0	4/4	25	1	1/24		1/16	2/3		1	79	402
4	4	0	0	4/4	3	1	1/4		1/4	1	-1	1	79	302
4	4	0	0	4/4	24	1	1/24		1/16	2/3		10	82	378
4	4	0	0	4/4	23	1	1/24		1/16	2/3		7	85	354
4	4	0	0	4/4	22	1	1/24		1/16	2/3		4	88	330
4	4	0	0	4/4	21	1	1/24		1/16	2/3		1	91	306
4	4	1/24	1/24	4/4	28	1	1/24		1/16	2/3		10	70	475
4	4	1/24	1/24	4/4	27	1	1/24		1/16	2/3		7	73	451
4	4	1/24	1/24	4/4	26	1	1/24		1/16	2/3		4	76	427
4	4	1/24	1/24	4/4	25	1	1/24		1/16	2/3		1	79	403
4	4	1/24	1/24	4/4	24	1	1/24		1/16	2/3		10	82	379
4	4	1/24	1/24	4/4	23	1	1/24		1/16	2/3		7	85	355
4	4	1/24	1/24	4/4	22	1	1/24		1/16	2/3		4	88	331
4	4	1/24	1/24	4/4	21	1	1/24		1/16	2/3		1	91	307
4	4	1/12	1/12	4/4	28	1	1/24		1/16	2/3		3	69	476
4	4	1/12	1/12	4/4	27	1	1/24		1/16	2/3		0	72	452
4	4	1/12	1/12	4/4	26	1	1/24		1/16	2/3		9	75	428
4	4	1/12	1/12	4/4	25	1	1/24		1/16	2/3		6	78	404
4	4	1/12	1/12	4/4	24	1	1/24		1/16	2/3		3	81	380
4	4	1/12	1/12	4/4	23	1	1/24		1/16	2/3		0	84	356
4	4	1/12	1/12	4/4	22	1	1/24		1/16	2/3		9	87	332
4	4	1/12	1/12	4/4	21	1	1/24		1/16	2/3		6	90	308
4	4	1/8	1/8	4/4	28	1	1/24		1/16	2/3		3	69	477
4	4	1/8	1/8	4/4	27	1	1/24		1/16	2/3		0	72	453
4	4	1/8	1/8	4/4	26	1	1/24		1/16	2/3		9	75	429
4	4	1/8	1/8	4/4	25	1	1/24		1/16	2/3		6	78	405
4	4	1/8	1/8	4/4	24	1	1/24		1/16	2/3		3	81	381
4	4	1/8	1/8	4/4	23	1	1/24		1/16	2/3		0	84	357
4	4	1/8	1/8	4/4	22	1	1/24		1/16	2/3		9	87	333
4	4	1/8	1/8	4/4	21	1	1/24		1/16	2/3		6	90	309
4	4	1/6	1/6	4/4	28	1	1/24		1/16	2/3		8	68	478
4	4	1/6	1/6	4/4	27	1	1/24		1/16	2/3		5	71	454
4	4	1/6	1/6	4/4	26	1	1/24		1/16	2/3		2	74	430
4	4	1/6	1/6	4/4	25	1	1/24		1/16	2/3		-1	77	406
4	4	1/6	1/6	4/4	24	1	1/24		1/16	2/3		8	80	382
4	4	1/6	1/6	4/4	23	1	1/24		1/16	2/3		5	83	358
4	4	1/6	1/6	4/4	22	1	1/24		1/16	2/3		2	86	334
4	4	1/6	1/6	4/4	21	1	1/24		1/16	2/3		-1	89	310
4	4	5/24	5/24	4/4	28	1	1/24		1/16	2/3		8	68	479
4	4	5/24	5/24	4/4	27	1	1/24		1/16	2/3		5	71	455
4	4	5/24	5/24	4/4	26	1	1/24		1/16	2/3		2	74	431
4	4	5/24	5/24	4/4	25	1	1/24		1/16	2/3		-1	77	407
4	4	5/24	5/24	4/4	24	1	1/24		1/16	2/3		8	80	383
4	4	5/24	5/24	4/4	23	1	1/24		1/16	2/3		5	83	359
4	4	5/24	5/24	4/4	22	1	1/24		1/16	2/3		2	86	335
4	4	5/24	5/24	4/4	21	1	1/24		1/16	2/3		-1	89	311
4	4	1/4	1/4	4/4	28	1	1/24		1/16	2/3		1	67	480
4	4	1/4	1/4	4/4	27	1	1/24		1/16	2/3		-2	70	456
